lat,lon,age_mid,min_age,max_age,group,genesis_class,Minerals,Mn Ion,mindat ID,Locality containing Mineral
50.640555555556,12.978055555556011,323.9,320.4,327.4,A,Marine hydrogenetic/early diagenetic oxide,Asbolane,Mn^4+,22713,"Adam Heber Mine (Shaft 43), Neustädtel, Schneeberg, Erzgebirge District, Saxony, Germany"
50.640555555556,12.978055555556011,323.9,320.4,327.4,A,Marine hydrogenetic/early diagenetic oxide,Asbolane,Mn^4+,1897,"Daniel Mine (St. Daniel Mine), Neustädtel, Schneeberg, Erzgebirge District, Saxony, Germany"
50.640555555556,12.978055555556011,323.9,320.4,327.4,A,Marine hydrogenetic/early diagenetic oxide,Asbolane,Mn^4+,1892,"Walpurgis Flacher Vein, Weißer Hirsch Mine (Shaft 3), Neustädtel, Schneeberg, Erzgebirge District, Saxony, Germany"
50.640555555556,12.978055555556011,323.9,320.4,327.4,A,Marine hydrogenetic/early diagenetic oxide,Asbolane,Mn^4+,72924,"Spitzleithe, Schneeberg, Erzgebirge District, Saxony, Germany"
50.565277777778,12.623055555555993,326.4,326.4,326.4,A,Marine hydrogenetic/early diagenetic oxide,Asbolane,Mn^4+,1900,"Pucher Shaft, Wolfgang Maaßen Mine Field, Schneeberg, Erzgebirge District, Saxony, Germany"
50.552777777778,12.812777777777995,350.0,100.0,600.0,Other,Magmatic/pegmatitic or phosphate-stage,Helvine,Mn^2+,5469,"Gelbe Birke Mine, Beierfeld, Grünhain-Beierfeld, Schwarzenberg Mining District, Erzgebirge District, Saxony, Germany"
50.545,12.818333333332987,350.0,100.0,600.0,Other,Supergene/oxidation product,Chalcophanite,Mn^4+,189753,"Gottes Geschick Vereinigt Feld Mine, Graul, Langenberg, Schwarzenberg Mining District, Erzgebirge District, Saxony, Germany"
50.435555555556,12.70666666666699,350.0,100.0,600.0,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,189753,"Gottes Geschick Vereinigt Feld Mine, Graul, Langenberg, Schwarzenberg Mining District, Erzgebirge District, Saxony, Germany"
50.545,12.818333333332987,350.0,100.0,600.0,A,Marine hydrogenetic/early diagenetic oxide,Lithiophorite,Mn^4+,189753,"Gottes Geschick Vereinigt Feld Mine, Graul, Langenberg, Schwarzenberg Mining District, Erzgebirge District, Saxony, Germany"
50.435555555556,12.70666666666699,350.0,100.0,600.0,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,15875,"Stamm Asser Mine, Graul, Langenberg, Schwarzenberg Mining District, Erzgebirge District, Saxony, Germany"
50.94,13.305277777778002,310.0,159.0,461.0,A,Marine hydrogenetic/early diagenetic oxide,Lithiophorite,Mn^4+,1832,"Freiberg, Mittelsachsen, Saxony, Germany"
50.936666666667,13.208333333333002,360.5,260.0,461.0,B,Burial diagenetic carbonate,Kutnohorite,Mn^2+,1847,"Neue Hoffnung Gottes Mine, Bräunsdorf, Freiberg, Mittelsachsen, Saxony, Germany"
50.936666666667,13.208333333333002,360.5,260.0,461.0,Other,Other/uncertain,Lindbergite,Mn^2+,1847,"Neue Hoffnung Gottes Mine, Bräunsdorf, Freiberg, Mittelsachsen, Saxony, Germany"
50.936666666667,13.208333333333002,360.5,260.0,461.0,B,Burial diagenetic carbonate,Kutnohorite,Mn^2+,13852,"Granite Quarry, Naundorf, Freiberg, Mittelsachsen, Saxony, Germany"
51.060277777778,13.217222222222006,188.5,162.0,215.0,Other,Hydrothermal/metasomatic,Alabandite,Mn^2+,32272,"Segen Gottes Mine, Gersdorf, Roßwein, Mittelsachsen, Saxony, Germany"
50.437222222222,12.252499999999998,320.0,313.0,327.0,A,Marine hydrogenetic/early diagenetic oxide,Asbolane,Mn^4+,16022,"Tirpersdorf, Oelsnitz, Vogtland, Saxony, Germany"
50.437222222222,12.252499999999998,320.0,313.0,327.0,A,Marine hydrogenetic/early diagenetic oxide,Lithiophorite,Mn^4+,16022,"Tirpersdorf, Oelsnitz, Vogtland, Saxony, Germany"
51.776388888889,10.770277777778006,292.5,289.0,296.0,C,Metamorphic Mn oxide (ambiguous default),Hausmannite,Mn^2+,21994,"Einheit Mine, Elbingerode, Oberharz Am Brocken, Harz, Saxony-Anhalt, Germany"
51.776388888889,10.770277777778006,292.5,289.0,296.0,Other,Other/uncertain,Friedelite,Mn^2+,21555,"Kaiser Franz Mine (König Wilhelm Mine), Schävenholz (Schebenholz; Schäbenholz), Elbingerode, Oberharz Am Brocken, Harz, Saxony-Anhalt, Germany"
51.776388888889,10.770277777778006,292.5,289.0,296.0,C,Metamorphic Mn oxide (ambiguous default),Hausmannite,Mn^2+,21555,"Kaiser Franz Mine (König Wilhelm Mine), Schävenholz (Schebenholz; Schäbenholz), Elbingerode, Oberharz Am Brocken, Harz, Saxony-Anhalt, Germany"
51.776388888889,10.770277777778006,292.5,289.0,296.0,Other,Other/uncertain,Manganosite,Mn^2+,21555,"Kaiser Franz Mine (König Wilhelm Mine), Schävenholz (Schebenholz; Schäbenholz), Elbingerode, Oberharz Am Brocken, Harz, Saxony-Anhalt, Germany"
51.786666666667,10.762499999999989,292.5,289.0,296.0,A,Marine hydrogenetic/early diagenetic oxide,Asbolane,Mn^4+,21557,"Das Aufgeklärte Glück Mine (Aufgeklärtes Glück Mine), Hasserode, Wernigerode, Harz, Saxony-Anhalt, Germany"
51.786666666667,10.762499999999989,292.5,289.0,296.0,A,Marine hydrogenetic/early diagenetic oxide,Birnessite,Mn^4+,21557,"Das Aufgeklärte Glück Mine (Aufgeklärtes Glück Mine), Hasserode, Wernigerode, Harz, Saxony-Anhalt, Germany"
