deposit_name,country,state,deposit_type,age_Ma,host_formation,metamorphic_grade,mineral,latitude,longitude,coord_confidence,host_class,supergene
Tennengebirge,Austria,,sediment-hosted,180.0,Allgäu,Vr max 3.8%,kutnahorite,47.5,13.3,region,sediment-hosted,False
Tiantaishan,China,Shaanxi,sediment-hosted,525.0,Tananpo,,,34.0,107.0,region,sediment-hosted,False
Tiouine,Morocco,,volcanic-hosted,700.0,,,braunite,30.9,-7.0,region,volcanic-hosted,False
Tokoro,Japan,Hokkaido,volcanic-hosted,125.0,Nikoro,,braunite,44.0,144.0,lit,volcanic-hosted,False
Ulukent-Gökçeovacik,Turkey,,sediment-hosted,94.0,,,,37.5,29.3,region,sediment-hosted,False
Um Bogma,Egypt,Sinai,karst-hosted,336.0,Um Bogma,none,pyrochroite,29.0,33.3,lit,karst-hosted,False
Úrkút-carbonate,Hungary,Transdanubia,sediment-hosted,183.0,,none,rhodochrosite,47.08,17.64,lit,sediment-hosted,False
Úrkút-oxide,Hungary,Transdanubia,sediment-hosted,184.0,,none,cryptomelane,47.08,17.64,lit,sediment-hosted,True
Urucum,Brazil,Mato Grosso do Sul,sediment-hosted,700.0,Santa Cruz,none,cryptomelane,-19.1333,-57.55,auto(PP1802/seed),sediment-hosted,True
"Usa (Belaya Usa, Usinsk)",Russia,Kuznetskii-Alatau,sediment-hosted,550.0,,none,rhodochrosite,54.0,88.0,region,sediment-hosted,False
Vani,Greece,Milos,volcanic-hosted,1.0,,none,pyrolusite,36.7,24.4,lit,volcanic-hosted,False
Wafangzi (Wafangtzu) - carbonate,China,Liaoning,sediment-hosted,1120.0,Tieling,none - green,rhodochrosite,41.0,119.3,auto(PP1802/seed),sediment-hosted,False
Wafangzi (Wafangtzu) - oxide,China,Liaoning,sediment-hosted,1120.0,Tieling,none - green,"manganite, braunite",41.0,119.3,auto(PP1802/seed),sediment-hosted,True
Waziristan,Pakistan,Baluchistan,volcanic-hosted,150.0,,,braunite,32.0,69.5,region,volcanic-hosted,False
White Oak Mtn,USA,TN,karst-hosted,345.0,Ft Payne,none,"lithiophorite, cryptomelane",35.1,-85.1,region,karst-hosted,True
Woodie Woodie,Australia,WA,sediment-hosted,2764.0,Carrawine,,pyrolusite,-21.6,121.2,auto(PP1802/seed),sediment-hosted,False
Xialei,China,Guangxi Zhuang,sediment-hosted,367.0,Wuzhistan,,rhodochrosite,23.2,106.3,lit,sediment-hosted,False
Xiangtan,China,,sediment-hosted,660.0,,,rhodochrosite,27.9,112.5,lit,sediment-hosted,False
Ansongo (Takavasita),Mali,,volcanic-hosted,2100.0,,,"psilomelane, pyrolusite",15.7,0.5,region,volcanic-hosted,True
Batesville,USA,Ark,sediment-hosted,455.0,,,"rhodochrosite, hausmannite",35.8,-91.6,lit,sediment-hosted,False
"Bonai district, other",India,North Orissa,sediment-hosted,3200.0,Iron Ore Group,,braunite,21.9,85.6,region,sediment-hosted,False
Bou Arfa,Morocco,,karst-hosted,195.0,,,"hausmannite, braunite, rhodochrosite",32.5,-1.96,lit,karst-hosted,False
Coquimbo,Chile,,volcanic-hosted,99.0,Arqueros,,braunite,-29.95,-71.3,region,volcanic-hosted,False
East Syan (Nizhneudinsk),Russia,Nizhneudinsk,sediment-hosted,700.0,Izanskaya,,"braunite, hausmannite",54.9,99.0,region,sediment-hosted,False
Eastern Cuba,Cuba,,volcanic-hosted,48.0,,,manganite,20.4,-75.8,region,volcanic-hosted,True
En Kafala,Afar,,volcanic-hosted,1.0,,,,11.5,41.0,country,volcanic-hosted,False
Falotta,Switzerland,Grison,volcanic-hosted,146.0,,greenschist,braunite,46.6,9.5,lit,volcanic-hosted,False
Gangpur,India,North Orissa,sediment-hosted,3200.0,Iron Ore Group,,braunite,22.0,84.5,lit,sediment-hosted,False
Gucheng,China,,sediment-hosted,700.0,,,,28.0,109.0,region,sediment-hosted,False
Harlech Dome,United Kingdom,Wales,sediment-hosted,520.0,,chlorite,rhodochrosite,52.9,-4.0,lit,sediment-hosted,False
Jiangkou,China,,sediment-hosted,600.0,,,,27.7,108.8,region,sediment-hosted,False
Kampumba-Mansa-Chiwefwe,Zambia,,volcanic-hosted,1600.0,,,manganite,-11.2,28.9,region,volcanic-hosted,True
Kisenge-Kamata-Kapolo,DRC,Katanga,sediment-hosted,2201.0,,,,-10.4,23.4,lit,sediment-hosted,False
Kisovece,Czechoslovakia,,sediment-hosted,28.0,,,,49.0,20.0,country,sediment-hosted,False
Langban,Sweden,Varmland,volcanic-hosted,1800.0,,,braunite,59.86,14.27,lit,volcanic-hosted,False
Magnitogorsk,Russia,,volcanic-hosted,370.0,,,"braunite, rhodonite",53.4,59.0,lit,volcanic-hosted,False
Maliuba,China,,sediment-hosted,600.0,,,,28.0,109.0,region,sediment-hosted,False
Marau,Brazil,Bahia,volcanic-hosted,2700.0,,,"cryptomelane, lithiophorite",-14.1,-39.0,region,volcanic-hosted,True
Maripa,Suriname,,volcanic-hosted,2100.0,Paramaca series,,,5.0,-55.5,country,volcanic-hosted,False
Matthews Ridge,Guyana,,volcanic-hosted,2700.0,Barama (=Parameca) series,,braunite,7.5,-60.2,lit,volcanic-hosted,False
