lat,lon,paleo_lat,paleo_lon,age_mid,group,genesis_class,occ_class,plate_id
-27.274444444444,-66.661111111111,-29.149754818111074,-65.87485458499087,8.0,B,Burial diagenetic carbonate,primary,22032
-31.961666666667,141.47055555556,25.561619986422585,132.62179618536285,933.0,A,Marine hydrogenetic/early diagenetic oxide,primary,80102
-31.961666666667,141.47055555556,25.561619986422585,132.62179618536285,933.0,C,Metamorphic Mn silicate,metased,80102
-31.961666666667,141.47055555556,25.561619986422585,132.62179618536285,933.0,B,Burial diagenetic carbonate,primary,80102
-31.95,141.49027777777997,25.54480562734766,132.63459815364538,933.0,C,Metamorphic Mn silicate,metased,80102
-31.95,141.49027777777997,25.54480562734766,132.63459815364538,933.0,C,Metamorphic Mn silicate,metased,80102
-31.95,141.49027777777997,25.54480562734766,132.63459815364538,933.0,C,Metamorphic Mn silicate,metased,80102
-25.539166666667,151.97749999999996,-54.01375744031215,123.01444116272016,219.0,A,Marine hydrogenetic/early diagenetic oxide,primary,801
-41.845833333333,145.51555555556,-4.27752371748114,143.4024194577006,518.0,B,Burial diagenetic carbonate,primary,8013
-41.845833333333,145.51555555556,-4.27752371748114,143.4024194577006,518.0,B,Burial diagenetic carbonate,primary,8013
-41.889444444444,145.43083333333004,-28.668911035114938,145.71292488221297,389.05,A,Marine hydrogenetic/early diagenetic oxide,primary,8013
-36.85,147.51833333333002,-11.722840975281766,133.0229818294602,420.0,A,Marine hydrogenetic/early diagenetic oxide,primary,801
-37.565833333333,146.2425,-24.181340735907508,144.37828062757373,387.0,A,Marine hydrogenetic/early diagenetic oxide,primary,801
-21.651944444444,121.22944444444,-35.803716322185416,119.50882612835193,30.25,A,Marine hydrogenetic/early diagenetic oxide,primary,80101
-21.651944444444,121.22944444444,-35.803716322185416,119.50882612835193,30.25,A,Marine hydrogenetic/early diagenetic oxide,primary,80101
-21.215,120.73694444443998,52.881082127459486,-81.13482688221565,1317.0,A,Marine hydrogenetic/early diagenetic oxide,primary,80101
-30.263055555556,116.00194444444004,64.98247389826841,-90.02543296333947,1250.0,A,Marine hydrogenetic/early diagenetic oxide,primary,80101
-26.065277777778,128.96833333333,51.31463132229441,103.59000712080521,1080.0,A,Marine hydrogenetic/early diagenetic oxide,primary,80104
-26.065277777778,128.96833333333,51.31463132229441,103.59000712080521,1080.0,A,Marine hydrogenetic/early diagenetic oxide,primary,80104
-26.065277777778,128.96833333333,51.31463132229441,103.59000712080521,1080.0,A,Marine hydrogenetic/early diagenetic oxide,primary,80104
47.42,11.921111111111005,-15.718884786990687,23.08689112904949,333.5,A,Marine hydrogenetic/early diagenetic oxide,primary,308
-18.900555555556,-41.484166666666994,-34.958852990246704,154.0026441087706,582.0,A,Marine hydrogenetic/early diagenetic oxide,primary,201
-21.916666666667,-46.53305555555599,-27.95067269935305,-24.181181921589324,73.55,A,Marine hydrogenetic/early diagenetic oxide,primary,201
-21.916666666667,-46.53305555555599,-27.95067269935305,-24.181181921589324,73.55,A,Marine hydrogenetic/early diagenetic oxide,primary,201
41.439444444444,24.95222222222199,35.538604029884816,22.97744180096082,30.6,C,Metamorphic Mn silicate,metased,338
41.457777777778,24.95277777777801,35.55687966720848,22.975583688945665,30.6,C,Metamorphic Mn silicate,metased,338
